"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.01.2019",8.550,8.448,8.582,8.354,"130,76M","0,12%"
"03.01.2019",8.523,8.497,8.590,8.488,"135,07M","-0,31%"
"04.01.2019",8.737,8.593,8.774,8.588,"169,09M","2,52%"
"07.01.2019",8.776,8.781,8.783,8.710,"128,76M","0,44%"
"08.01.2019",8.847,8.783,8.895,8.773,"160,82M","0,81%"
"09.01.2019",8.823,8.887,8.892,8.807,"160,46M","-0,27%"
"10.01.2019",8.856,8.790,8.856,8.784,"148,19M","0,38%"
"11.01.2019",8.877,8.855,8.900,8.836,"151,62M","0,23%"
"14.01.2019",8.818,8.819,8.840,8.751,"126,00M","-0,66%"
"15.01.2019",8.850,8.878,8.915,8.768,"136,52M","0,36%"
"16.01.2019",8.912,8.869,8.912,8.836,"176,32M","0,71%"
"17.01.2019",8.908,8.868,8.939,8.850,"152,92M","-0,05%"
"18.01.2019",9.069,8.962,9.080,8.950,"203,55M","1,80%"
"21.01.2019",9.053,9.064,9.070,9.033,"90,49M","-0,17%"
"22.01.2019",9.037,9.009,9.055,9.001,"143,28M","-0,18%"
"23.01.2019",9.128,9.011,9.169,9.006,"135,90M","1,01%"
"24.01.2019",9.150,9.150,9.205,9.088,"163,42M","0,23%"
"25.01.2019",9.185,9.206,9.225,9.164,"161,49M","0,38%"
"28.01.2019",9.062,9.149,9.181,9.048,"134,49M","-1,34%"
"29.01.2019",9.119,9.064,9.163,9.034,"144,38M","0,63%"
"30.01.2019",9.071,9.123,9.142,9.034,"154,21M","-0,52%"
"31.01.2019",9.056,9.103,9.117,8.981,"222,89M","-0,16%"
"01.02.2019",9.019,9.058,9.078,8.942,"286,84M","-0,41%"
"04.02.2019",8.975,9.015,9.036,8.905,"221,48M","-0,49%"
"05.02.2019",9.092,8.982,9.092,8.949,"210,16M","1,30%"
"06.02.2019",9.100,9.070,9.113,9.055,"149,92M","0,10%"
"07.02.2019",8.938,9.062,9.098,8.938,"178,62M","-1,79%"
"08.02.2019",8.856,8.915,8.928,8.826,"165,21M","-0,91%"
"11.02.2019",8.936,8.905,8.974,8.893,"132,24M","0,90%"
"12.02.2019",8.983,8.989,9.032,8.961,"138,79M","0,52%"
"13.02.2019",8.982,8.993,9.015,8.956,"155,30M","-0,01%"
"14.02.2019",8.952,9.035,9.038,8.943,"169,67M","-0,33%"
"15.02.2019",9.123,8.953,9.134,8.918,"208,11M","1,91%"
"18.02.2019",9.155,9.134,9.174,9.123,"115,18M","0,35%"
"19.02.2019",9.136,9.152,9.187,9.096,"117,86M","-0,21%"
"20.02.2019",9.181,9.156,9.189,9.148,"130,32M","0,49%"
"21.02.2019",9.191,9.202,9.224,9.162,"137,60M","0,11%"
"22.02.2019",9.204,9.184,9.238,9.175,"131,20M","0,15%"
"25.02.2019",9.204,9.244,9.261,9.198,"131,23M","-0,00%"
"26.02.2019",9.227,9.172,9.235,9.141,"127,10M","0,25%"
"27.02.2019",9.211,9.206,9.226,9.160,"174,51M","-0,17%"
"28.02.2019",9.277,9.166,9.293,9.141,"260,63M","0,72%"
"01.03.2019",9.267,9.313,9.361,9.267,"167,87M","-0,11%"
"04.03.2019",9.259,9.309,9.322,9.248,"112,92M","-0,09%"
"05.03.2019",9.258,9.255,9.298,9.204,"140,18M","-0,02%"
"06.03.2019",9.296,9.243,9.344,9.235,"140,84M","0,42%"
"07.03.2019",9.249,9.301,9.366,9.216,"253,05M","-0,50%"
"08.03.2019",9.129,9.173,9.205,9.110,"197,95M","-1,30%"
"11.03.2019",9.171,9.157,9.181,9.106,"129,69M","0,47%"
"12.03.2019",9.161,9.206,9.213,9.137,"144,90M","-0,11%"
"13.03.2019",9.192,9.134,9.202,9.123,"162,61M","0,34%"
"14.03.2019",9.209,9.193,9.283,9.192,"155,13M","0,19%"
"15.03.2019",9.342,9.219,9.342,9.216,"372,91M","1,44%"
"18.03.2019",9.409,9.350,9.418,9.343,"152,58M","0,72%"
"19.03.2019",9.492,9.428,9.532,9.417,"150,40M","0,88%"
"20.03.2019",9.405,9.467,9.509,9.405,"138,67M","-0,91%"
"21.03.2019",9.355,9.387,9.397,9.326,"179,84M","-0,53%"
"22.03.2019",9.199,9.394,9.395,9.188,"216,68M","-1,67%"
"25.03.2019",9.179,9.159,9.232,9.127,"169,09M","-0,21%"
"26.03.2019",9.183,9.189,9.211,9.151,"168,85M","0,03%"
"27.03.2019",9.229,9.194,9.323,9.146,"239,05M","0,51%"
"28.03.2019",9.174,9.214,9.245,9.170,"153,24M","-0,60%"
"29.03.2019",9.240,9.226,9.273,9.190,"181,74M","0,72%"
"01.04.2019",9.341,9.304,9.355,9.269,"200,87M","1,10%"
"02.04.2019",9.363,9.356,9.400,9.322,"152,28M","0,23%"
"03.04.2019",9.487,9.457,9.491,9.436,"173,81M","1,33%"
"04.04.2019",9.534,9.488,9.551,9.472,"164,76M","0,49%"
"05.04.2019",9.510,9.542,9.553,9.476,"178,69M","-0,25%"
"08.04.2019",9.437,9.483,9.495,9.425,"121,81M","-0,76%"
"09.04.2019",9.407,9.428,9.511,9.388,"137,60M","-0,32%"
"10.04.2019",9.406,9.423,9.467,9.395,"152,20M","-0,01%"
